KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
Chinese_Red_Classic_Song_Linked_Data_Dataset,Chinese Red Song Linked Data Dataset,http://47.97.223.173:3030,"['https://raw.githubusercontent.com/baixue1/linked-data/master/data/figure.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/imagery.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/historyevent.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/performer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/composer.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/song.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/Lyricist.ttl', 'https://raw.githubusercontent.com/baixue1/linked-data/master/data/original_performer.ttl']",False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.34,0
chronicling-america,Chronicling America,,[],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.32,0
cinematheque-quebecoise-linked-open-data,Cinémathèque québécoise Linked Open Data,https://data.cinematheque.qc.ca/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
Copyright_Free_Music,Copyright Free Music,,[],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.32,0
core,CORE - Semantic Similarity of Open Access publications,http://core.kmi.open.ac.uk/squery,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
data-incubator-discogs,Discogs in RDF,,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.59,0
data-incubator-moseley,Moseley Folk Festival Data,http://api.talis.com/stores/moseley/services/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
data-incubator-pokedex,Pokedex data in RDF,http://api.talis.com/stores/pokedex/services/sparql,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.34,0
dbtropes,DBTropes,,['http://dbtropes.org/static/dbtropes.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.59,0
dbtune-artists-last-fm,DBTune.org Artists: Last.fm,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
dbtune-audioscrobbler,DBTune.org AudioScrobbler RDF Service,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
dbtune-classical,DBTune.org/classical,http://dbtune.org/classical/sparql/,[],False,1,0.0,1,0.44,0,1,0.57,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,0,1,1,0.5,2.19,0
dbtune-john-peel-sessions,DBTune.org John Peel sessions RDF server,http://dbtune.org/bbc/peel/sparql/,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.34,0
dbtune-magnatune,DBTune.org Magnatune RDF server,http://dbtune.org/magnatune/sparql/,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.34,0
edublogs,Edublogs,,[],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.32,0
eutc-productions,Edinburgh University Theatre Company Productions,http://api.talis.com/stores/eutc-productions/services/sparql,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.59,0
event-media,EventMedia,http://eventmedia.eurecom.fr/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
fv,fvdb,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.06,0
gemeenschappelijke-thesaurus-audiovisuele-archieven,Gemeenschappelijke Thesaurus Audiovisuele Archieven ? Common Thesaurus Audiovisual Archives,,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.59,0
http:www.msm.com,Soccer Dataset,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
http:www.RAG.comgameonto#,Game Ontology,,[],False,1,0.0,1,0.11,0,1,0.52,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0.5,1.77,0
im@sparql,im@sparql,https://sparql.crssnky.xyz/spql/imas/query?query=,['https://github.com/imas/imasparql'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.32,0
inaudio.org,Royalty Free Music,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.06,0
Inztrow,Inztrow,,"['https://inztrow.bandcamp.com/album/inztrow-vol-1', 'https://distrokid.com/hyperfollow/cotixinztrow/dz7I']",False,1,0.0,1,0.33,0,1,0.56,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,0,1,1,0.5,2.06,0
iptc-newscodes,IPTC NewsCodes,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
jamendo-dbtune,DBTune.org Jamendo RDF Server,http://dbtune.org/jamendo/sparql/,[],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.34,0
linkedmdb,Linked Movie DataBase,http://data.linkedmdb.org/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
muziekweb,Muziekweb,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb,"['https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.trig.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.nt.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.nq.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.ttl.gz']",False,1,0.0,1,0.67,0,1,0.61,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.36,1
nytimes-linked-open-data,New York Times - Linked Open Data,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
ontos-news-portal,Ontos News Portal,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
pokepedia-fr,Poképédia,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
racai-llod-parseme-ro,PARSEME-Ro corpus,https://relate.racai.ro/datasets/parseme/query,['https://www.racai.ro/p/llod/resources/parseme-rdf.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,0,0.0,0,0.25,1,1,1,0.75,2.59,0
rdfize-lastfm,"Last.FM RDFization of Events, Artists, and Users",,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.06,0
revistas_turismo,Revista Excelencias Turísticas,https://tematres.seriadas.com/vocab/sparql.php,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.07,0
salzburgerland-com-de,Salzburgerland DE,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
salzburgerland-com-en,Salzburgerland EN,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
salzburgerland-com-it,Salzburgerland IT,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
Shutterstock,Jishnu Raghavan (1976-2016),,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
slod,Linked Stage Graph,http://slod.fiz-karlsruhe.de/sparql,[],False,1,0.8822,1,0.44,0,1,0.72,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.47,1
surge-radio,Surge Radio,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.06,0
Thinkphile,"ThinkPhile (Publisher | Blog , Content ,News , and Media Website)",,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.31,0
wasabi,WASABI RDF Knowledge Graph,http://wasabi.inria.fr/sparql,"['https://zenodo.org/record/3833753/files/covidontheweb-1-1.tar', 'https://doi.org/10.5281/zenodo.4247134', 'https://doi.org/10.5281/zenodo.5603369']",False,1,1.0,1,0.89,1,1,0.98,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1.0,3.86,1
webnmasunotraveler,webnmasunotraveler,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
zitgist-musicbrainz,MusicBrainz (zitgist.com),,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
