KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
cipfa,CIPFA,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
coins-openuplabs,OpenUpLabs COINS,http://gov.tso.co.uk/coins/sparql,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.07,0
combined-nomenclature-2012,CN  2012,http://purl.org/weso/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
copyrighttermbank,CopyrightTermBank,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
cpa-2008,CPA 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
cpc-2008,CPC 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
cpv-2003,CPV  2003,http://156.35.31.156/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
cpv-2008,CPV 2008,http://purl.org/weso/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
crowdsourcing-fb,crowdsourcing-fb,http://140.109.28.64:2020/sparql,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.07,0
culturalinkeddata,CulturaLinkedData,http://cultura.linkeddata.es/sparql,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0.5,1.81,0
cz-list-of-databoxes,List of Czech data boxes,https://linked.opendata.cz/sparql,"['https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz']",False,1,0.0948,1,0.89,0,1,0.66,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1.0,3.54,1
cz-nace,Czech statistical classification of economic activities in the European Community (CZ-NACE),https://linked.opendata.cz/sparql,"['https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz']",False,1,0.0924,1,0.89,0,1,0.66,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1.0,3.54,1
